,Property_details,Area,Price,Area Type,Number of Sq ft
281,"2 BHK Independent House for Sale in Vadavalli, Coimbatore",1130 sqft,₹92 Lac ,Carpet Area,1130 sqft
282,"2 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",900 sqft,₹35 Lac ,Carpet Area,900 sqft
283,"6 BHK Independent House for Sale in Kovai Pudur, Coimbatore",2800 sqft,₹1.10 Cr ,Carpet Area,2800 sqft
284,"3 BHK Independent House for Sale in Ramanathapuram, Coimbatore",675 sqft,₹75 Lac ,Carpet Area,675 sqft
285,"2 BHK Independent House for Sale in Kinathukadavu, Coimbatore",1010 sqft,₹42 Lac ,Carpet Area,1010 sqft
286,"5 BHK Independent House for Sale in Periyar Nagar, Coimbatore",1100 sqft,₹35 Lac ,Super Area,1100 sqft
287,"3 BHK Independent House for Sale in Madukkarai, Coimbatore",1450 sqft,₹60 Lac ,Super Area,1450 sqft
288,"4 BHK Independent House for Sale in Vadavalli, Coimbatore",3100 sqft,₹1.80 Cr ,Carpet Area,3100 sqft
289,"2 BHK Independent House for Sale in Thiruvalluvar Nagar, Coimbatore",1000 sqft,₹38 Lac ,Super Area,1000 sqft
290,"3 BHK Independent House for Sale in Ondipudur, Coimbatore",2534 sqft,₹1.40 Cr ,Carpet Area,2534 sqft
291,"3 BHK Independent House for Sale in Udayampalayam , Coimbatore",5200 sqft,₹3 Cr ,Carpet Area,5200 sqft
292,"4 BHK Independent House for Sale in Keeranatham, Coimbatore",1800 sqft,₹59 Lac ,Super Area,1800 sqft
293,"3 BHK Independent House for Sale in pollachi, Coimbatore",2000 sqft,₹87 Lac ,Carpet Area,2000 sqft
294,"1 BHK Independent House for Sale in Pappampatti, Coimbatore",450 sqft,₹15.7 Lac ,Super Area,450 sqft
295,"2 BHK Independent House for Sale in Vaiyampalayam, Coimbatore",1500 sqft,₹47 Lac ,Super Area,1500 sqft
296,"3 BHK Independent House for Sale in Keeranatham, Coimbatore",1700 sqft,₹65 Lac ,Carpet Area,1700 sqft
297,"5 BHK Independent House for Sale in Ramanathapuram, Coimbatore",1500 sqft,₹2.25 Cr ,Carpet Area,1500 sqft
298,"2 BHK Independent House for Sale in Kavundam Palayam, Coimbatore",2100 sqft,₹98 Lac ,Super Area,2100 sqft
299,"> 10 BHK Independent House for Sale in Arasur, Coimbatore",4400 sqft,₹1 Cr ,Carpet Area,4400 sqft
300,"1 BHK Independent House for Sale in Periyanaickenpalayam, Coimbatore",437 sqft,₹20 Lac ,Carpet Area,437 sqft
301,"2 BHK Independent House for Sale in Veerapandi Pirivu, Coimbatore",1400 sqft,₹52 Lac ,Carpet Area,1400 sqft
